,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,mode,speechiness,tempo
46,0.169,0.763,0.4456198525231243,0.661,0.0,0.117,0.0,0.056,0.4022168029941235
47,0.18,0.747,0.44508436887713465,0.667,0.0,0.146,0.0,0.0566,0.4022083354502193
48,0.138,0.693,0.45573989451875385,0.643,0.0,0.108,0.0,0.0828,0.40244119290758523
49,0.336,0.847,0.40246063904423024,0.444,0.0,0.0996,0.0,0.492,0.48706159291435924
50,0.14,0.69,0.4922415987080795,0.926,0.0,0.112,0.0,0.253,0.7109646226015681
51,0.5,0.713,0.4507258195509085,0.418,0.000655,0.119,1.0,0.0519,0.3558104286270724
52,0.694,0.555,0.5295930406784808,0.452,0.0,0.0595,1.0,0.0554,0.7617444833951463
53,0.0146,0.466,0.5330961930902691,0.789,0.0,0.0637,1.0,0.0663,0.744178563565852
54,0.112,0.664,0.5144771892511244,0.447,0.0,0.091,0.0,0.289,0.3519873325543193
55,0.385,0.651,0.459266823664056,0.654,0.0,0.181,1.0,0.0466,0.6010897729004724
56,0.663,0.418,0.39235111640240117,0.392,0.335,0.204,1.0,0.0383,0.715092550254873
57,0.392,0.776,0.4507917335689544,0.513,0.0,0.0642,1.0,0.0872,0.6517214516757269
58,0.13,0.687,0.47004959371260857,0.855,0.0,0.311,0.0,0.109,0.7110492980406103
59,0.424,0.726,0.49532538996698006,0.654,0.0,0.0668,1.0,0.0423,0.5462116208572542
60,0.0593,0.521,1.0,0.837,1.28e-05,0.157,1.0,0.0794,0.4487840606953547
61,0.714,0.285,0.5637930724223326,0.803,1.07e-05,0.0495,1.0,0.158,0.405620755643618
62,0.936,0.751,0.46900943229820835,0.193,0.94,0.11,1.0,0.0449,0.48259496350488573
63,0.0281,0.587,0.5106863953138894,0.687,0.14,0.121,0.0,0.0509,0.7194787379972565
64,0.673,0.614,0.49253211942509756,0.511,0.00176,0.339,0.0,0.0294,0.6266998594387712
65,0.0318,0.637,0.4810982398540553,0.885,0.0,0.107,1.0,0.0274,0.5378033497603685
66,0.526,0.613,0.4977839074905783,0.739,0.0,0.149,1.0,0.0311,0.4444021067249233
67,0.287,0.765,0.5166138258650705,0.473,0.0,0.391,1.0,0.0514,0.5080187640772917
68,0.226,0.676,0.4962602513459786,0.623,1.66e-05,0.159,0.0,0.0352,0.47192162441362256
69,0.0169,0.618,0.4915683847124923,0.47,0.0,0.111,1.0,0.0271,0.5717031617808938
70,0.649,0.607,0.480339569715065,0.478,0.0,0.0928,0.0,0.031,0.3767167945265796
71,0.346,0.574,0.46605316200513514,0.651,0.0,0.149,1.0,0.046,0.5928000474182458
72,0.232,0.659,0.5037022368107751,0.834,0.55,0.236,1.0,0.0387,0.4913207674981795
73,0.0306,0.707,0.5066819659645372,0.707,0.0,0.127,0.0,0.0375,0.44047740012531966
74,0.509,0.765,0.4789242852731457,0.53,4.15e-06,0.117,0.0,0.0833,0.5508306660570036
75,0.242,0.661,0.47874650904462324,0.552,0.0,0.0953,0.0,0.0278,0.46601974631238463
76,0.0173,0.615,0.48148436313535337,0.774,0.0,0.15,0.0,0.0551,0.5795483412081491
77,0.937,0.496,0.40528379703981354,0.255,0.845,0.0909,1.0,0.0283,0.601030500093143
78,0.465,0.541,0.5009347086445328,0.556,0.0,0.116,0.0,0.0356,0.4482971769208623
79,0.495,0.784,0.48728622029749924,0.757,1.18e-06,0.142,1.0,0.0384,0.44452911988348653
80,0.00819,0.714,0.48241261075418285,0.883,0.843,0.231,1.0,0.0625,0.5335230063167877
81,0.9,0.0828,0.3716598987409454,0.012,0.812,0.0875,0.0,0.0451,0.7192966858033158
82,0.735,0.598,0.5084159772826706,0.295,0.0,0.107,1.0,0.0276,0.36844400413216144
83,0.771,0.497,0.4941934453114154,0.425,1.11e-05,0.109,1.0,0.0325,0.6269115480363766
84,0.306,0.405,0.5323736872443243,0.273,0.448,0.217,0.0,0.0515,0.338320716692916
85,0.694,0.773,0.46022305918933615,0.528,0.0001,0.478,0.0,0.0551,0.40669613371945335
